date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,score1_digit,score2_digit,result1
11/15/15,2015,0,0,TB,DAL,1355.101775,1482.942863,0.41053785,10,6,0,6,1
11/15/15,2015,0,0,BAL,JAX,1498.386334,1325.681743,0.797111437,20,22,0,2,0
11/15/15,2015,0,0,LAR,CHI,1490.367177,1396.277692,0.714184063,13,37,3,7,0
11/15/15,2015,0,0,GB,DET,1640.988521,1405.513841,0.849370371,16,18,6,8,0
11/15/15,2015,0,0,PHI,MIA,1562.868165,1452.242545,0.73321235,19,20,9,0,0
11/15/15,2015,0,0,PIT,CLE,1569.98809,1363.267806,0.826947714,30,9,0,9,1
11/15/15,2015,0,0,WSH,NO,1372.88022,1466.398397,0.459050968,47,14,7,4,1
11/15/15,2015,0,0,OAK,MIN,1452.134386,1561.744268,0.436151701,14,30,4,0,0
11/15/15,2015,0,0,DEN,KC,1677.936612,1540.166587,0.762645425,13,29,3,9,0
11/15/15,2015,0,0,NYG,NE,1527.752929,1753.591391,0.283765261,26,27,6,7,0
11/15/15,2015,0,0,SEA,ARI,1642.062432,1616.990222,0.626796322,32,39,2,9,0
11/16/15,2015,0,0,CIN,HOU,1672.144835,1449.91948,0.839350317,6,10,6,0,0
11/19/15,2015,0,0,JAX,TEN,1345.317687,1325.611607,0.619542634,19,13,9,3,1
11/22/15,2015,0,0,MIA,DAL,1463.288852,1463.410895,0.592296592,14,24,4,4,0
11/22/15,2015,0,0,PHI,TB,1551.821859,1374.633743,0.801253441,17,45,7,5,0
11/22/15,2015,0,0,DET,OAK,1427.128538,1427.911346,0.591377755,18,13,8,3,1
11/22/15,2015,0,0,CAR,WSH,1661.170549,1411.532894,0.859506835,44,16,4,6,1
11/22/15,2015,0,0,BAL,LAR,1478.75039,1440.805831,0.643960684,16,13,6,3,1
11/22/15,2015,0,0,CHI,DEN,1445.839038,1630.334464,0.334506854,15,17,5,7,0
11/22/15,2015,0,0,ATL,IND,1508.660846,1520.438543,0.575999511,21,24,1,4,0
11/22/15,2015,0,0,HOU,NYJ,1480.994138,1467.828234,0.610629513,24,17,4,7,1
11/22/15,2015,0,0,LAC,KC,1419.782999,1587.768735,0.355984971,3,33,3,3,0
11/22/15,2015,0,0,SEA,SF,1614.881882,1447.195887,0.792399194,29,13,9,3,1
11/22/15,2015,0,0,MIN,GB,1585.967309,1619.373824,0.545341772,13,30,3,0,0
11/22/15,2015,0,0,ARI,CIN,1644.170772,1641.070177,0.596768527,34,31,4,1,1
11/23/15,2015,0,0,NE,BUF,1757.257211,1530.474021,0.84285673,20,13,0,3,1
11/26/15,2015,0,0,DET,PHI,1441.35629,1491.185531,0.521818613,45,14,5,4,1
11/26/15,2015,0,0,DAL,CAR,1492.679324,1669.448326,0.344479703,14,33,4,3,0
11/26/15,2015,0,0,GB,CHI,1651.357947,1438.86782,0.831649305,13,17,3,7,0
11/29/15,2015,0,0,KC,BUF,1611.124374,1524.7039,0.705088146,30,22,0,2,1
11/29/15,2015,0,0,IND,TB,1536.804567,1435.270072,0.722851354,25,12,5,2,1
11/29/15,2015,0,0,CIN,LAR,1630.225909,1431.375594,0.820368265,31,7,1,7,1
11/29/15,2015,0,0,WSH,NYG,1403.255116,1524.08711,0.420335865,20,14,0,4,1
11/29/15,2015,0,0,JAX,LAC,1359.575441,1396.42736,0.54041995,25,31,5,1,0
11/29/15,2015,0,0,NYJ,MIA,1452.190383,1434.020422,0.617456153,38,20,8,0,1
11/29/15,2015,0,0,HOU,NO,1496.631989,1427.745723,0.683674742,24,6,4,6,1
11/29/15,2015,0,0,ATL,MIN,1492.294823,1553.983186,0.504765684,10,20,0,0,0
11/29/15,2015,0,0,TEN,OAK,1311.353853,1413.683593,0.446483959,21,24,1,4,0
11/29/15,2015,0,0,SF,ARI,1436.55752,1655.01504,0.292479403,13,19,3,9,0
11/29/15,2015,0,0,SEA,PIT,1625.520248,1579.510254,0.654533003,39,30,9,0,1
11/29/15,2015,0,0,DEN,NE,1637.305682,1763.027332,0.413493509,30,24,0,4,1
11/30/15,2015,0,0,CLE,BAL,1353.745642,1488.180627,0.401384444,27,33,7,3,0
12/3/15,2015,0,0,DET,GB,1474.274302,1620.724311,0.384885169,23,27,3,7,0
12/6/15,2015,0,0,TEN,JAX,1299.181235,1338.270683,0.537219307,42,39,2,9,1
12/6/15,2015,0,0,BUF,HOU,1512.578696,1514.191379,0.590222857,30,21,0,1,1
12/6/15,2015,0,0,NYG,NYJ,1500.940197,1473.897303,0.62944614,20,23,0,3,0
12/6/15,2015,0,0,TB,ATL,1421.671245,1468.050824,0.526771314,23,19,3,9,1
12/6/15,2015,0,0,CLE,CIN,1338.602421,1640.551755,0.203592587,3,37,3,7,0
12/6/15,2015,0,0,MIA,BAL,1412.313502,1503.323847,0.462637877,15,13,5,3,1
12/6/15,2015,0,0,CHI,SF,1469.501457,1425.916963,0.651369079,20,26,0,6,0
12/6/15,2015,0,0,MIN,SEA,1578.227185,1640.665382,0.503686665,7,38,7,8,0
12/6/15,2015,0,0,LAR,ARI,1421.049748,1665.655598,0.262329795,3,27,3,7,0
12/6/15,2015,0,0,OAK,KC,1425.856211,1623.249578,0.318186714,20,34,0,4,0
12/6/15,2015,0,0,LAC,DEN,1417.732118,1660.779351,0.264069714,3,17,3,7,0
12/6/15,2015,0,0,NO,CAR,1410.186333,1689.089837,0.225949159,38,41,8,1,0
12/6/15,2015,0,0,NE,PHI,1739.553662,1458.267519,0.880100613,28,35,8,5,0
12/6/15,2015,0,0,PIT,IND,1564.365121,1550.403393,0.611718173,45,10,5,0,1
12/7/15,2015,0,0,WSH,DAL,1426.402029,1473.037814,0.526403646,16,19,6,9,0
12/10/15,2015,0,0,ARI,MIN,1681.26907,1543.273584,0.762880279,23,20,3,0,1
12/13/15,2015,0,0,PHI,BUF,1501.707439,1530.921141,0.551319265,23,20,3,0,1
12/13/15,2015,0,0,BAL,SEA,1491.375531,1675.618983,0.334829827,6,35,6,5,0
12/13/15,2015,0,0,LAR,DET,1405.436276,1462.327625,0.511667169,21,14,1,4,1
12/13/15,2015,0,0,TB,NO,1436.776045,1404.476822,0.636475528,17,24,7,4,0
